train_loss,train_f1,val_loss,val_f1,val_top5_acc,learning_rates,epoch
2.5751526816982193,0.08571366061649804,2.4441144408249276,0.08206070170284253,0.6857410881801126,0.0001,1
2.4112218313617353,0.11529898762096973,2.336619463467911,0.1594704239743102,0.7570356472795498,9.757729755661011e-05,2
2.31900716010136,0.15893523168438511,2.253985297612804,0.204860730959648,0.8095684803001876,9.05463412215599e-05,3
2.0106833452576844,0.30040520178506136,1.664590506124228,0.4428511603964052,0.9127579737335835,7.959536998847742e-05,4
1.554954879116734,0.5163985865898569,1.3512340066133253,0.614372129983579,0.9577861163227017,6.57963412215599e-05,5
1.3128120690476304,0.6519193102130943,1.1973676518248797,0.718361320452307,0.975609756097561,5.05e-05,6
1.1761473340408974,0.7369089480968168,1.1213710605539031,0.77183222092574,0.9812382739212008,3.5203658778440106e-05,7
1.0977799367418812,0.7860513913490987,1.0841581353998095,0.7797213244118467,0.9812382739212008,2.1404630011522586e-05,8
1.068947672044836,0.805961334338934,1.0652129703793696,0.7908279038512634,0.9812382739212008,1.0453658778440109e-05,9
1.0524655296841197,0.8150472928182955,1.0628166652754591,0.7904795070874706,0.9821763602251408,3.4227024433899e-06,10
1.0136506928565243,0.8372715705492478,0.9648311489294886,0.8474012440330639,0.9859287054409006,0.0001,11
0.9108411268983998,0.8814855564198882,0.9035501164745882,0.8871312771129366,0.9887429643527205,9.939057285945933e-05,12
0.8426220516270552,0.911248808158552,0.8721402573764436,0.9060394876670379,0.9887429643527205,9.757729755661011e-05,13
0.7963790403068952,0.9354961208158757,0.8442092961710345,0.9130703185931354,0.9924953095684803,9.460482294732421e-05,14
0.7578238155011087,0.9518348133182482,0.8353445052429614,0.9092540436802299,0.9896810506566605,9.05463412215599e-05,15
0.736403113604391,0.9561937117605898,0.8235459047007964,0.9170121179284982,0.9924953095684803,8.55017856687341e-05,16
0.7176116359571075,0.9625858531680132,0.8226014959431948,0.9145733880343502,0.9868667917448405,7.959536998847742e-05,17
0.7070374634985407,0.9682606542925165,0.8075108767450415,0.9171623594779196,0.9878048780487805,7.297252973710757e-05,18
0.6975998579536818,0.9724931600075603,0.8124689801996242,0.9173027603630114,0.9915572232645403,6.57963412215599e-05,19
0.6880822481842491,0.9728055205252599,0.8061032516647683,0.9200240358819648,0.9896810506566605,5.8243506019491436e-05,20
0.6794805172893249,0.9776215713603704,0.7979265739949067,0.9247750885963896,0.9915572232645403,5.05e-05,21
0.6689699504742723,0.979672825967278,0.7908453259190744,0.921468885617059,0.9915572232645403,4.2756493980508586e-05,22
0.6692984271247675,0.9791928538687398,0.7860425068781927,0.9312521737072521,0.9887429643527205,3.5203658778440106e-05,23
0.6626018275522901,0.9803786482650889,0.7882420091870578,0.9296912092402476,0.9887429643527205,2.8027470262892437e-05,24
0.661959968762002,0.9803219964257842,0.7830377738873909,0.9235624594847829,0.9878048780487805,2.1404630011522586e-05,25
